Timestamp,Total CPU Load,Total Used Memory,Core CPU,Core Memory,Ameise CPU,Ameise Memory,Radar CPU,Radar Memory
1737224080.0974717,250.1,349.54,187.4,281.87,32.9,34.5,29.8,33.17
1737224082.1127295,114.9,366.72,73.9,292.45,25.0,41.1,16.0,33.17
1737224084.1347322,100.9,377.03,67.9,300.76,18.0,43.1,15.0,33.17
1737224086.1458201,79.4,383.73,56.5,305.46,20.9,43.1,2.0,35.17
1737224088.1656122,91.7,461.75,65.9,356.81,22.9,71.62,2.9,33.32
1737224090.2234132,194.4,553.34,102.9,455.54,88.5,64.48,3.0,33.32
1737224092.2350786,79.8,541.7,57.9,449.78,17.9,58.6,4.0,33.32
1737224094.244191,90.0,546.4,65.0,450.43,22.0,62.65,3.0,33.32
1737224096.2529373,84.9,560.71,62.9,462.85,19.0,64.54,3.0,33.32
1737224098.271299,86.9,560.82,66.9,462.85,18.0,64.65,2.0,33.32
1737224100.2805898,88.9,554.92,63.9,463.12,23.0,58.48,2.0,33.32
1737224102.2929127,91.7,560.38,67.8,469.04,20.9,58.02,3.0,33.32
1737224104.303343,65.0,575.05,51.0,477.28,11.0,64.45,3.0,33.32
1737224106.3129807,97.9,568.34,70.9,470.57,23.0,64.45,4.0,33.32
1737224108.3234057,86.9,567.52,62.9,469.55,21.0,64.65,3.0,33.32
1737224110.3347638,96.0,566.44,70.0,474.69,23.0,58.43,3.0,33.32
1737224112.3451707,95.7,561.19,70.9,469.81,22.8,58.06,2.0,33.32
1737224114.357216,95.9,567.57,68.9,469.81,23.0,64.44,4.0,33.32
1737224116.368444,88.0,561.08,63.0,469.81,22.0,57.95,3.0,33.32
1737224118.379561,97.0,567.66,71.0,469.81,24.0,64.53,2.0,33.32
1737224120.391022,91.9,566.46,66.9,474.71,22.0,58.43,3.0,33.32
1737224122.4114344,86.8,561.2,60.8,469.81,24.0,58.07,2.0,33.32
1737224124.428208,97.0,566.42,70.0,481.15,24.0,51.95,3.0,33.32
1737224126.4366064,75.8,571.34,53.9,472.9,19.9,65.12,2.0,33.32
1737224128.4622803,61.8,564.82,47.8,479.35,12.0,52.15,2.0,33.32
1737224130.4752169,93.9,555.22,68.9,469.81,22.0,52.09,3.0,33.32
