Timestamp,Messages per second
1737218932.4453764,10
1737218933.4592469,10
1737218934.4428039,9
1737218935.4424727,11
1737218936.4441116,9
1737218937.4419792,10
1737218938.442504,10
1737218939.4439192,10
1737218940.4424162,10
1737218941.4452717,6
1737218942.4427333,14
1737218943.4420674,10
1737218944.4427493,10
1737218945.4420133,10
1737218946.442402,10
1737218947.4416382,10
1737218948.443676,10
1737218949.442039,10
1737218950.4424145,10
1737218951.442116,10
1737218952.442265,10
1737218953.442598,10
1737218954.442679,10
1737218955.4421756,11
1737218956.4423375,10
1737218957.4446883,10
1737218958.4423265,10
1737218959.4421573,9
1737218960.4428906,10
1737218961.4423344,11
1737218962.4426665,10
1737218963.4480064,10
1737218964.4425647,8
1737218965.4422247,12
1737218966.4449055,10
1737218967.4422548,10
1737218968.442271,10
1737218969.4420862,10
1737218970.4421105,10
1737218971.4438174,10
1737218972.4422321,10
1737218973.452282,10
1737218974.4433227,10
1737218975.4425113,10
1737218976.4436405,10
1737218977.441928,9
1737218978.4424577,11
1737218979.4429972,10
1737218980.4419205,10
1737218981.442081,7
1737218982.4418967,4
1737218983.4431112,0
1737218984.4420295,0
1737218985.4420292,0
1737218986.4421778,0
1737218987.441876,0
1737218988.4420593,0
1737218989.44282,0
1737218990.4421542,0
1737218991.4422343,0
1737218992.4419556,0
1737218993.443396,0
1737218994.4419482,0
1737218995.4440799,0
1737218996.4421146,0
1737218997.4420252,0
1737218998.4418497,0
1737218999.4428566,0
1737219000.4460306,0
1737219001.4415712,0
1737219002.4419973,0
1737219003.4419801,0
1737219004.4419909,0
1737219005.442189,0
1737219006.4436326,0
1737219007.4410212,0
1737219008.4430132,0
1737219009.4421353,0
1737219010.442954,0
1737219011.4426887,0
1737219012.4423618,0
1737219013.4426908,0
1737219014.4428265,0
1737219015.443045,0
1737219016.4426749,0
1737219017.442545,0
1737219018.4424758,0
1737219019.4430232,0
1737219020.444889,0
1737219021.441764,0
1737219022.4426978,0
1737219023.4426973,0
1737219024.4420671,0
1737219025.4456356,0
1737219026.4425266,0
1737219027.4427865,0
1737219028.4425764,0
1737219029.442466,0
1737219030.4425883,0
1737219031.442413,0
1737219032.4420035,0
1737219033.442828,0
1737219034.4450579,0
1737219035.4480503,0
1737219036.4427953,0
1737219037.4419265,0
1737219038.44256,0
1737219039.45007,0
1737219040.442319,0
1737219041.442477,0
1737219042.4426188,0
1737219043.4440103,0
1737219044.4424577,0
1737219045.4437952,0
1737219046.4426575,0
1737219047.442711,0
1737219048.4424872,0
1737219049.4419541,0
1737219050.4429476,0
1737219051.442642,0
1737219052.4425297,0
1737219053.4426928,0
1737219054.4426122,0
1737219055.4443438,0
1737219056.4426112,0
1737219057.4424381,0
1737219058.442551,0
1737219059.4423382,0
1737219060.443883,0
1737219061.4422865,0
1737219062.4425848,0
1737219063.4431639,0
1737219064.443722,0
1737219065.4571674,0
1737219066.4428625,0
1737219067.4416714,0
1737219068.4428973,0
1737219069.4416108,0
1737219070.442486,0
1737219071.44257,0
1737219072.442691,0
1737219073.4426277,0
1737219074.4427392,0
1737219075.4426312,0
1737219076.4427698,0
1737219077.4423537,0
1737219078.442744,0
1737219079.4420347,0
1737219080.4428332,0
1737219081.442513,0
1737219082.4443278,0
1737219083.4424462,0
1737219084.4445124,0
1737219085.4428246,0
1737219086.44198,0
1737219087.442025,0
1737219088.4424033,0
1737219089.4427745,0
1737219090.4578922,0
1737219091.4425821,0
1737219092.4427216,0
1737219093.442461,0
1737219094.4424663,0
1737219095.4428542,0
1737219096.442092,0
1737219097.4418094,0
1737219098.4425824,0
1737219099.4417653,0
1737219100.4444008,0
1737219101.4433668,0
1737219102.442581,0
1737219103.4423752,0
1737219104.442701,0
1737219105.4442513,0
1737219106.4628773,0
1737219107.4473062,0
1737219108.4428086,0
1737219109.4422472,0
1737219110.4438624,0
