Time,Topic,DataSize
0,Odometry,320
0,Odometry,124
1,Odometry,360
1,Odometry,368
1,Odometry,360
1,Odometry,320
1,Sonstige,193
1,Sonstige,193
1,Lidar,24837
2,Odometry,320
2,Odometry,124
3,Lidar,24837
5,Odometry,360
5,Odometry,368
5,Odometry,711
5,Lidar,24901
5,Odometry,360
5,Odometry,711
5,Odometry,710
5,Odometry,710
5,Odometry,360
5,Odometry,710
5,Odometry,320
5,Odometry,710
5,Odometry,711
5,Sonstige,199
5,Odometry,360
5,Odometry,124
5,Lidar,24837
5,Odometry,368
5,Odometry,360
5,Lidar,24837
5,Lidar,24837
5,Odometry,124
5,Odometry,368
5,Odometry,360
5,Odometry,711
5,Odometry,320
5,Odometry,711
5,Odometry,711
5,Odometry,711
5,Odometry,124
5,Lidar,24837
5,Odometry,710
5,Odometry,320
5,Odometry,710
5,Odometry,710
5,Odometry,320
5,Odometry,360
5,Odometry,320
5,Odometry,368
5,Odometry,320
5,Odometry,710
5,Odometry,711
5,Lidar,24837
5,Sonstige,199
5,Lidar,24837
5,Odometry,711
5,Odometry,710
5,Odometry,711
5,Odometry,710
5,Odometry,360
5,Odometry,320
5,Odometry,710
5,Odometry,711
5,Odometry,711
5,Odometry,710
5,Odometry,711
5,Odometry,710
5,Odometry,710
5,Odometry,711
5,Odometry,710
5,Odometry,711
5,Odometry,711
5,Odometry,710
5,Odometry,711
5,Odometry,710
5,Odometry,711
5,Odometry,710
5,Odometry,711
5,Lidar,24837
6,Odometry,320
6,Odometry,124
6,Odometry,360
6,Odometry,368
6,Odometry,710
6,Odometry,360
6,Odometry,320
6,Lidar,53
6,Lidar,328
6,Lidar,24837
7,Odometry,320
7,Odometry,124
7,Odometry,360
7,Odometry,368
7,Lidar,24901
7,Lidar,24901
7,Lidar,24901
7,Lidar,24901
7,Odometry,360
7,Odometry,320
7,Lidar,53
7,Lidar,330
7,Odometry,320
8,Odometry,124
8,Odometry,360
8,Lidar,53
8,Odometry,368
8,Odometry,360
8,Odometry,320
8,Lidar,329
8,Odometry,320
8,Odometry,124
8,Odometry,360
8,Odometry,368
8,Odometry,360
9,Odometry,320
10,Odometry,320
10,Odometry,124
10,Odometry,360
10,Odometry,360
10,Odometry,368
10,Odometry,320
11,Odometry,320
11,Odometry,360
11,Odometry,124
11,Odometry,368
11,Odometry,360
11,Lidar,24837
11,Lidar,24837
11,Lidar,24837
11,Odometry,320
11,Lidar,24901
11,Lidar,24901
11,Lidar,24901
12,Odometry,320
12,Odometry,124
12,Odometry,360
12,Odometry,368
12,Odometry,360
12,Odometry,320
12,Lidar,24837
12,Lidar,24837
12,Lidar,24837
12,Lidar,24837
13,Lidar,24901
13,Odometry,320
13,Odometry,124
13,Odometry,360
13,Odometry,368
13,Odometry,360
13,Odometry,320
14,Odometry,320
14,Odometry,360
14,Odometry,124
14,Odometry,368
14,Lidar,24837
14,Lidar,24837
14,Odometry,360
14,Odometry,320
14,Lidar,24901
14,Odometry,320
14,Odometry,124
14,Odometry,360
15,Odometry,368
15,Odometry,360
15,Odometry,320
16,Odometry,320
16,Odometry,360
16,Odometry,124
16,Odometry,368
16,Lidar,53
16,Lidar,328
16,Lidar,24837
16,Odometry,360
16,Odometry,320
16,Odometry,320
16,Odometry,124
16,Odometry,360
16,Odometry,360
17,Odometry,368
17,Odometry,320
17,Kamera,361
18,Lidar,53
18,Lidar,330
18,Odometry,320
18,Odometry,124
18,Odometry,360
18,Odometry,368
18,Odometry,360
18,Odometry,320
18,Lidar,24837
18,Lidar,24837
18,Lidar,24837
18,Odometry,320
18,Odometry,360
18,Odometry,124
19,Odometry,368
19,Odometry,360
19,Odometry,320
19,Lidar,24901
19,Lidar,24901
19,Lidar,24901
19,Odometry,320
19,Odometry,124
19,Odometry,360
19,Odometry,368
19,Odometry,360
20,Odometry,320
20,Lidar,24837
20,Kamera,6912056
20,Lidar,53
20,Lidar,329
21,Lidar,24901
21,Odometry,320
21,Odometry,124
21,Odometry,360
21,Odometry,360
21,Odometry,368
21,Odometry,320
21,Lidar,24837
21,Odometry,320
21,Odometry,124
21,Odometry,360
22,Odometry,368
22,Odometry,360
22,Odometry,320
22,Lidar,24837
22,Lidar,24837
22,Lidar,24837
22,Lidar,24901
22,Odometry,320
22,Odometry,124
22,Odometry,360
22,Odometry,368
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,711
23,Odometry,360
23,Odometry,711
23,Odometry,320
23,Odometry,320
23,Odometry,124
23,Odometry,360
23,Odometry,368
23,Odometry,710
23,Odometry,710
23,Odometry,710
23,Odometry,710
23,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,710
24,Odometry,711
24,Odometry,360
24,Odometry,320
24,Lidar,24837
24,Odometry,320
24,Odometry,124
24,Odometry,360
24,Odometry,368
24,Odometry,710
25,Odometry,320
25,Odometry,360
25,Lidar,130
26,Odometry,320
26,Odometry,124
26,Odometry,360
26,Lidar,24837
26,Lidar,24837
26,Lidar,24837
26,Odometry,368
26,Lidar,53
26,Odometry,320
26,Odometry,360
26,Lidar,328
26,Lidar,24837
26,Odometry,320
26,Odometry,124
26,Odometry,360
27,Odometry,368
27,Odometry,320
27,Odometry,360
27,Lidar,24901
27,Lidar,24901
27,Lidar,24901
27,Lidar,53
27,Lidar,330
27,Kamera,361
27,Odometry,320
28,Odometry,124
28,Odometry,368
28,Odometry,360
28,Odometry,320
28,Odometry,360
28,Lidar,24837
28,Lidar,125
28,Lidar,53
28,Lidar,329
28,Lidar,24901
29,Odometry,320
29,Odometry,124
29,Odometry,360
29,Odometry,368
29,Odometry,360
29,Odometry,320
29,Lidar,24837
30,Odometry,320
30,Odometry,360
30,Odometry,124
30,Odometry,368
30,Odometry,360
30,Odometry,320
30,Kamera,6912056
30,Lidar,24901
30,Odometry,320
30,Odometry,360
30,Odometry,124
31,Odometry,368
31,Odometry,360
31,Odometry,320
32,Odometry,320
32,Odometry,124
32,Odometry,360
32,Odometry,368
32,Odometry,320
32,Odometry,360
32,Lidar,24837
32,Lidar,24837
32,Lidar,24837
32,Odometry,320
32,Odometry,124
33,Odometry,360
33,Odometry,368
33,Odometry,360
33,Odometry,320
33,Odometry,320
33,Odometry,124
34,Odometry,368
34,Odometry,360
34,Lidar,24837
34,Lidar,24837
34,Lidar,24837
34,Odometry,360
34,Odometry,320
34,Lidar,24837
34,Odometry,320
34,Odometry,124
35,Odometry,360
35,Odometry,368
35,Odometry,320
35,Odometry,360
35,Lidar,24901
35,Lidar,24901
35,Lidar,24901
35,Lidar,24837
35,Odometry,320
35,Odometry,124
35,Odometry,360
36,Odometry,368
36,Odometry,360
36,Odometry,320
36,Lidar,53
36,Lidar,328
36,Lidar,24901
36,Lidar,24837
36,Lidar,53
37,Lidar,329
37,Lidar,24837
37,Odometry,320
37,Odometry,124
37,Odometry,360
37,Odometry,368
37,Odometry,320
37,Odometry,360
37,Lidar,53
37,Lidar,330
37,Odometry,320
37,Odometry,124
37,Odometry,360
38,Odometry,368
38,Odometry,360
38,Odometry,320
38,Lidar,24901
39,Odometry,320
39,Odometry,320
39,Odometry,124
39,Odometry,360
39,Odometry,360
39,Odometry,368
40,Odometry,320
40,Odometry,124
40,Odometry,360
40,Odometry,368
40,Odometry,320
40,Odometry,360
40,Odometry,320
40,Odometry,360
40,Odometry,124
40,Odometry,711
40,Odometry,711
40,Odometry,711
40,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,711
41,Odometry,360
41,Odometry,368
41,Odometry,320
41,Odometry,320
42,Odometry,124
42,Odometry,360
42,Odometry,368
42,Odometry,711
42,Lidar,24837
42,Lidar,24837
42,Lidar,24837
42,Odometry,320
42,Odometry,360
42,Odometry,320
42,Odometry,124
42,Odometry,360
42,Odometry,368
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,710
43,Odometry,360
43,Odometry,320
43,Lidar,24901
43,Lidar,24901
43,Lidar,24901
43,Lidar,24837
43,Lidar,24837
