Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
10,0,21,98,4,0,374021,45519,784
20,2,28,60,0,6912417,548072,18520,0
30,2,26,101,0,6912417,448915,46323,0
40,0,21,64,0,0,374021,21364,0
50,0,20,90,2,0,398540,41160,232
60,0,35,82,2,0,14205085,32833,240
70,0,26,76,0,0,1447754,31206,0
80,2,19,79,0,6912419,373639,32029,0
90,2,27,79,1,6912415,547743,32010,119
100,0,29,102,1,0,7764465,46691,117
110,0,20,60,0,0,398540,18298,0
120,1,24,97,0,361,448532,44808,0
130,3,26,62,0,13824473,498462,19248,0
140,0,23,93,0,0,423759,43245,0
150,0,19,59,2,0,373639,18200,232
160,0,30,97,2,0,14130192,44809,240
170,1,28,65,0,362,1497428,19830,0
180,1,22,97,0,6912057,398922,44809,0
190,2,22,79,0,6912415,448150,31686,0
200,0,30,76,2,0,7814065,31549,236
210,0,24,79,0,0,448660,32029,0
220,2,19,84,0,6912417,373639,33542,0
230,2,26,74,0,6912417,498398,30497,0
240,0,22,79,0,0,448214,32010,0
250,0,22,91,2,0,398922,41289,232
260,0,33,67,2,0,14842619,22750,240
270,1,27,98,0,362,760606,45519,0
280,1,22,65,0,6912057,448278,20052,0
290,2,16,97,0,6912415,299128,45151,0
300,0,29,56,2,0,7789036,17356,236
310,0,26,98,0,0,498462,45519,0
320,2,24,64,0,6912417,423883,19692,0
330,2,19,94,0,6912417,373639,44347,0
340,0,25,60,0,0,522853,18520,0
350,0,24,99,2,0,448660,45839,232
360,0,29,59,2,0,14055935,18200,240
370,1,26,98,0,362,1496982,45519,0
380,1,25,83,0,6912057,473561,33201,0
390,2,23,75,0,6912415,423759,30838,0
400,0,25,79,2,0,7739044,32029,236
410,0,24,79,0,0,448532,32010,0
420,1,24,79,0,361,498016,32029,0
430,3,23,79,0,13824473,423823,32010,0
440,0,21,102,0,0,374021,46691,0
450,0,22,59,2,0,448150,18152,232
460,0,35,95,2,0,15203925,44715,240
470,0,21,65,0,0,373959,20052,0
480,2,25,95,0,6912419,448658,44431,0
490,2,26,58,0,6912415,498398,18076,0
500,0,25,98,2,0,7739044,45519,236
510,0,28,61,0,0,473815,18681,0
520,1,22,97,0,361,398858,44808,0
530,3,25,77,0,13824473,473625,30607,0
540,0,22,81,0,0,398922,33041,0
550,0,23,78,4,0,472987,31709,1608
560,0,35,81,2,0,15154569,32454,240
570,1,22,79,0,362,398922,31678,0
580,1,23,79,0,6912057,473051,31668,0
590,2,17,97,0,6912415,323965,44809,0
600,0,28,58,2,0,7813683,17854,236
610,0,23,98,0,0,423823,45519,0
620,2,24,60,0,6912417,448532,18520,0
630,2,23,101,0,6912417,473179,46323,0
640,0,24,58,0,0,423885,18036,0
650,0,20,97,2,0,398540,45199,232
660,0,30,62,2,0,14080708,19026,240
670,0,30,98,0,0,1547230,45519,0
680,2,25,60,0,6912419,424205,18520,0
690,2,22,101,0,6912415,448150,46323,0
700,0,31,82,2,0,7814191,33077,236
710,0,22,73,0,0,423430,30158,0
