Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
1,84,2545,8322,66,290321514,265939262,3403541,9240
2,80,2462,8023,60,276496680,264073358,3285132,7080
3,80,2462,8016,62,276496680,264172134,3278830,8458
4,80,2467,7998,60,276496680,264246963,3268707,7080
5,80,2469,8010,62,276496680,264148761,3274905,8458
6,80,2467,8019,60,276496680,264148379,3281598,7080
7,80,2458,7993,62,276496680,263924590,3265497,8458
8,80,2451,8017,60,276496680,264194615,3279198,7080
9,80,2465,8013,62,276496680,264197353,3279696,8458
10,76,2365,7690,60,262671846,261354012,3142555,7080
