Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
1,4,96,310,4,13824834,1745029,126226,784
2,80,2449,8012,62,276496680,264194233,3277315,8456
3,80,2462,8023,60,276496680,264073358,3285132,7080
4,80,2462,8016,62,276496680,264172134,3278830,8458
5,80,2467,7998,60,276496680,264246963,3268707,7080
6,80,2469,8010,62,276496680,264148761,3274905,8458
7,80,2467,8019,60,276496680,264148379,3281598,7080
8,80,2458,7993,62,276496680,263924590,3265497,8458
9,80,2451,8017,60,276496680,264194615,3279198,7080
10,80,2465,8013,62,276496680,264197353,3279696,8458
