Topic Statistics:
Topic: /ekf/imu/data, Cycle Time: 0:00:00.001000, Total Data Size: 3200000 bytes, Data Rate: 0.31 Mbytes/s, Max Size: 320 bytes, Min Size: 320 bytes
Topic: /ekf/llh_position, Cycle Time: 0:00:00.001000, Total Data Size: 1240000 bytes, Data Rate: 0.12 Mbytes/s, Max Size: 124 bytes, Min Size: 124 bytes
Topic: /ekf/velocity_ecef, Cycle Time: 0:00:00.001000, Total Data Size: 3600000 bytes, Data Rate: 0.34 Mbytes/s, Max Size: 360 bytes, Min Size: 360 bytes
Topic: /ekf/dual_antenna_heading, Cycle Time: 0:00:00.001000, Total Data Size: 3680000 bytes, Data Rate: 0.35 Mbytes/s, Max Size: 368 bytes, Min Size: 368 bytes
Topic: /ekf/velocity, Cycle Time: 0:00:00.001000, Total Data Size: 3600000 bytes, Data Rate: 0.34 Mbytes/s, Max Size: 360 bytes, Min Size: 360 bytes
Topic: /imu/data, Cycle Time: 0:00:00.001000, Total Data Size: 3200000 bytes, Data Rate: 0.31 Mbytes/s, Max Size: 320 bytes, Min Size: 320 bytes
Topic: /rosout, Cycle Time: 0:00:01.424783, Total Data Size: 3836 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 689 bytes, Min Size: 193 bytes
Topic: /rosout_agg, Cycle Time: 0:00:01.424772, Total Data Size: 3836 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 689 bytes, Min Size: 193 bytes
Topic: /lidar/left/lidar_packets, Cycle Time: 0:00:00.002067, Total Data Size: 120161406 bytes, Data Rate: 11.46 Mbytes/s, Max Size: 24837 bytes, Min Size: 24837 bytes
Topic: /lidar/top/lidar_packets, Cycle Time: 0:00:00.001563, Total Data Size: 158882289 bytes, Data Rate: 15.16 Mbytes/s, Max Size: 24837 bytes, Min Size: 24837 bytes
Topic: /ekf/odometry_map, Cycle Time: 0:00:00.000998, Total Data Size: 7109289 bytes, Data Rate: 0.68 Mbytes/s, Max Size: 711 bytes, Min Size: 711 bytes
Topic: /lidar/right/lidar_packets, Cycle Time: 0:00:00.001563, Total Data Size: 159216994 bytes, Data Rate: 15.20 Mbytes/s, Max Size: 24901 bytes, Min Size: 24901 bytes
Topic: /ekf/odometry_earth, Cycle Time: 0:00:00.000998, Total Data Size: 7108520 bytes, Data Rate: 0.68 Mbytes/s, Max Size: 710 bytes, Min Size: 710 bytes
Topic: /lidar/top/imu_packets, Cycle Time: 0:00:00.010001, Total Data Size: 53000 bytes, Data Rate: 0.01 Mbytes/s, Max Size: 53 bytes, Min Size: 53 bytes
Topic: /lidar/top/imu, Cycle Time: 0:00:00.010001, Total Data Size: 328000 bytes, Data Rate: 0.03 Mbytes/s, Max Size: 328 bytes, Min Size: 328 bytes
Topic: /lidar/right/imu_packets, Cycle Time: 0:00:00.010001, Total Data Size: 53000 bytes, Data Rate: 0.01 Mbytes/s, Max Size: 53 bytes, Min Size: 53 bytes
Topic: /lidar/right/imu, Cycle Time: 0:00:00.010001, Total Data Size: 330000 bytes, Data Rate: 0.03 Mbytes/s, Max Size: 330 bytes, Min Size: 330 bytes
Topic: /lidar/left/imu_packets, Cycle Time: 0:00:00.015313, Total Data Size: 34609 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 53 bytes, Min Size: 53 bytes
Topic: /lidar/left/imu, Cycle Time: 0:00:00.015313, Total Data Size: 214837 bytes, Data Rate: 0.02 Mbytes/s, Max Size: 329 bytes, Min Size: 329 bytes
Topic: /camera/stereo_left/camera_info, Cycle Time: 0:00:00.100007, Total Data Size: 36100 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 361 bytes, Min Size: 361 bytes
Topic: /camera/stereo_left/image_raw, Cycle Time: 0:00:00.100011, Total Data Size: 691205600 bytes, Data Rate: 66.58 Mbytes/s, Max Size: 6912056 bytes, Min Size: 6912056 bytes
Topic: /lidar/top/os_nodelet_mgr/bond, Cycle Time: 0:00:00.157434, Total Data Size: 7580 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 130 bytes, Min Size: 124 bytes
Topic: /camera/front_right/camera_info, Cycle Time: 0:00:00.099999, Total Data Size: 36100 bytes, Data Rate: 0.00 Mbytes/s, Max Size: 361 bytes, Min Size: 361 bytes
Topic: /camera/front_right/image_raw, Cycle Time: 0:00:00.099999, Total Data Size: 691205600 bytes, Data Rate: 66.58 Mbytes/s, Max Size: 6912056 bytes, Min Size: 6912056 bytes
Topic: /tf, Cycle Time: 0:00:00.016606, Total Data Size: 70800 bytes, Data Rate: 0.01 Mbytes/s, Max Size: 121 bytes, Min Size: 115 bytes
Topic: /lidar/top/points, Cycle Time: 0:00:00.099992, Total Data Size: 629167500 bytes, Data Rate: 60.61 Mbytes/s, Max Size: 6291675 bytes, Min Size: 6291675 bytes
Topic: /lidar/top/nearir_image, Cycle Time: 0:00:00.099986, Total Data Size: 26220600 bytes, Data Rate: 2.53 Mbytes/s, Max Size: 262206 bytes, Min Size: 262206 bytes
Topic: /lidar/top/range_image, Cycle Time: 0:00:00.099986, Total Data Size: 26220600 bytes, Data Rate: 2.53 Mbytes/s, Max Size: 262206 bytes, Min Size: 262206 bytes
Topic: /lidar/top/signal_image, Cycle Time: 0:00:00.099987, Total Data Size: 26220600 bytes, Data Rate: 2.53 Mbytes/s, Max Size: 262206 bytes, Min Size: 262206 bytes
